meanRT_go,meanRT_stop,sdRT_go,sdRT_nogo,dda,stop_accuracy,go_accuracy,meanRT_go_10,meanRT_go_50,meanRT_go_80,meanRT_stop_10,meanRT_stop_50,meanRT_stop_80,medGoRT_10,medGoRT_50,medGoRT_80,meanSOA_10,meanSOA_50,meanSOA_80,Gender,Age,A,B,C,D,E,F,G,H,IN,ssrt_integ,ssrt0.1,ssrt0.5,ssrt0.8
0.573603503,0.369988059,0.289444684,0.211681994,0.444444444,0.493055556,0.909722222,0.580662874,0.568237443,0.571788237,0.442856073,0.312477274,0.331445553,0.593591094,0.635440826,0.601942539,0.269444444,0.252222222,0.242222222,male,19,6,12,0,2,5,3,8,6,2,0.362905338,0.36600568,0.33309086,0.359711734
0.615868884,0.498664902,0.1914477,0.153694044,0.405092593,0.458333333,0.912037037,0.609246031,0.614614205,0.622590991,0.503777936,0.490943918,0.500065259,0.62697351,0.601984024,0.618661046,0.307,0.306578947,0.2625,female,18,13,18,9,11,10,8,18,12,8,0.345796696,0.379075926,0.378929065,0.306045103
0.693373435,0.612960524,0.169400719,0.164646625,0.666666667,0.472222222,0.923611111,0.708021632,0.691250605,0.680417292,0.584653914,0.637476861,0.625470638,0.702268839,0.718935966,0.685497999,0.383653846,0.360526316,0.362037037,male,18,15,18,8,4,11,8,19,10,6,0.34934561,0.335320267,0.29161454,0.356948759
0.735887316,0.609236949,0.188842589,0.164005977,0.425925926,0.506944444,0.831018519,0.745590754,0.738524547,0.724274263,0.612553629,0.578071776,0.630004866,0.769064546,0.718937993,0.735727072,0.526,0.493589744,0.495454545,female,18,18,29,24,13,14,16,30,27,11,0.230171516,0.226360821,0.242100135,0.256922488
0.805638752,0.753693438,0.195924661,0.216646757,0.354166667,0.465277778,0.768518519,0.799879869,0.792208616,0.824499448,0.646758139,0.862239577,0.779219134,0.835955977,0.83575201,0.852659941,0.433333333,0.443333333,0.432352941,male,18,17,34,9,8,14,17,31,16,9,0.416546922,0.436094586,0.375894601,0.437023003
0.714706367,0.664239867,0.193282895,0.170845014,0.391203704,0.493055556,0.791666667,0.743156823,0.733380488,0.679912769,0.668783967,0.683934904,0.61869657,0.752375484,0.752381802,0.685521126,0.298979592,0.320175439,0.265789474,female,19,2,11,6,7,4,8,12,13,12,0.510693932,0.533393771,0.506820203,0.496842889
0.804673235,0.737245759,0.12584448,0.125034962,0.662037037,0.486111111,0.930555556,0.810193434,0.802407048,0.801758183,0.727995654,0.736383686,0.746580078,0.802608013,0.78601253,0.802521467,0.48,0.457317073,0.482291667,male,18,6,18,2,5,11,8,19,12,7,0.328259542,0.322521944,0.378469031,0.353469165
0.686212951,0.626610016,0.156626039,0.169430109,0.520833333,0.472222222,0.9375,0.686842225,0.6865277,0.685217289,0.622099737,0.637171294,0.623809482,0.668801546,0.68550396,0.685544014,0.406034483,0.405555556,0.411,female,18,8,25,5,6,8,10,18,9,9,0.277881998,0.24604057,0.280032327,0.358081116
0.581561774,0.549389799,0.264348284,0.246184929,0.356481481,0.131944444,0.729166667,0.549906981,0.589724521,0.601934188,0.610299207,0.506169938,0.528540663,0.551826596,0.601940036,0.601935148,0.013,0.042222222,0.053061224,male,20,17,17,20,14,14,12,26,23,7,,,,
0.202496474,0.172184251,0.17506079,0.189293734,0.490740741,0.256944444,0.969907407,0.224070917,0.197773613,0.184186722,0.193604599,0.181898086,0.146553982,0.167360067,0.133920908,0.133919001,0.024489796,0.04375,0.017272727,female,19,13,23,20,6,14,15,29,19,7,,,,
0.785463447,0.653473247,0.173645105,0.167225719,0.476851852,0.493055556,0.900462963,0.771320474,0.822303234,0.759955086,0.636795988,0.674832363,0.647901426,0.802379131,0.835937023,0.785709977,0.531818182,0.534259259,0.514130435,male,19,4,10,1,0,4,2,6,1,3,0.275558535,0.28745982,0.284985841,0.27170054
0.805979907,0.729168203,0.145404496,0.131772987,0.377314815,0.5,0.886574074,0.812663473,0.808082807,0.795744965,0.753309713,0.702949375,0.73565836,0.802547097,0.802528143,0.802441478,0.505813953,0.54893617,0.54537037,female,18,18,16,20,7,9,11,20,18,9,0.267809735,0.27999914,0.253597695,0.273886651
0.673388396,0.586608472,0.183829373,0.174047367,0.416666667,0.493055556,0.969907407,0.694142798,0.663810333,0.659055343,0.594456995,0.630882382,0.538160615,0.718938112,0.66881299,0.668830037,0.267647059,0.287209302,0.342,female,18,21,17,9,12,16,5,21,18,9,0.386247518,0.38445112,0.431729764,0.360214003
0.753794136,0.728258273,0.179003651,0.195130703,0.393518519,0.076388889,0.921296296,0.740803277,0.752127494,0.769896988,0.735978851,0.675973543,0.748542538,0.75266099,0.769086361,0.785817027,0.039473684,0.003030303,0.033333333,female,19,13,21,16,11,8,9,17,16,7,,,,
0.727956718,0.643968728,0.15994667,0.152441742,0.414351852,0.5,0.918981481,0.731919085,0.741639558,0.71040231,0.622859349,0.604120472,0.700894127,0.73548007,0.71894908,0.718962908,0.406382979,0.388095238,0.396363636,female,20,4,9,4,4,3,5,8,5,9,0.321791946,0.329274952,0.36428561,0.305859426
0.527499185,0.552534931,0.211652028,0.212806394,0.425925926,0.055555556,0.93287037,0.519816462,0.525834899,0.536589131,0.569864434,0.5643295,0.525843245,0.501663446,0.50166297,0.501574516,0.03125,0.032142857,0.0375,male,19,12,23,9,11,11,8,19,17,9,,,,
0.799869356,0.718258109,0.138470514,0.103066017,0.662037037,0.5,0.921296296,0.808590117,0.800909083,0.792044821,0.705973811,0.724495286,0.726620416,0.835918546,0.785827398,0.794134974,0.521929825,0.506521739,0.535365854,female,19,13,12,6,7,8,7,15,13,6,0.281660477,0.297290242,0.279109441,0.300413098
0.588911768,0.615248665,0.222816455,0.208354792,0.363425926,0.25,0.798611111,0.597980081,0.591764691,0.577774501,0.54318668,0.677150477,0.60479282,0.551831603,0.535098076,0.568348885,0.257142857,0.134259259,0.140625,female,18,21,25,14,9,12,11,23,13,8,,,,
0.823933465,0.757702596,0.168910467,0.15301246,0.372685185,0.5,0.740740741,0.822538464,0.820227857,0.828832646,0.747581686,0.740215464,0.77829763,0.852656841,0.852662086,0.83584702,0.523255814,0.545348837,0.552586207,female,18,21,11,10,11,11,11,22,14,12,0.310817321,0.329397213,0.307366178,0.28333675
0.530830667,0.55463265,0.219169159,0.215501674,0.465277778,0.055555556,0.958333333,0.532741693,0.530980171,0.52875675,0.542709936,0.542825042,0.574411303,0.535393953,0.526664495,0.568511844,0.063043478,0.020930233,0.027272727,male,18,11,7,4,13,9,6,15,12,8,,,,
0.497509367,0.526232703,0.238393681,0.271739608,0.469907407,0.069444444,0.935185185,0.480880578,0.49509542,0.517537019,0.528402477,0.536797689,0.516039219,0.426442146,0.443168521,0.476580501,0.032608696,0.010227273,0.036111111,female,19,4,23,8,5,3,13,16,8,7,,,,
0.804649326,0.734068132,0.173827931,0.14328825,0.398148148,0.493055556,0.81712963,0.82372663,0.7603091,0.82954107,0.719674432,0.748812088,0.730351058,0.827595115,0.80251646,0.869190931,0.432978723,0.432142857,0.403658537,male,18,14,19,11,8,13,12,25,13,7,0.395376566,0.386308338,0.370378133,0.482238623
0.705231891,0.596905359,0.207849288,0.222925008,0.37037037,0.493055556,0.780092593,0.725431905,0.701949189,0.686830269,0.54581649,0.636089047,0.620242493,0.744023919,0.73566854,0.702052832,0.548888889,0.515,0.525510204,female,18,12,25,9,4,14,10,24,13,8,0.20649031,0.270422015,0.220663176,0.143266785
0.61581912,0.587465423,0.167252994,0.177593258,0.546296296,0.479166667,0.939814815,0.621271368,0.601081966,0.625209495,0.60751195,0.549648036,0.599665609,0.60175705,0.585242987,0.618569493,0.263636364,0.235714286,0.227659574,female,18,9,20,5,3,12,11,23,8,12,0.358217096,0.355011689,0.366262824,0.374294409
0.797127307,0.767621362,0.188885709,0.209173846,0.347222222,0.201388889,0.763888889,0.782316278,0.797102107,0.812858245,0.789824023,0.781399125,0.739070388,0.810848594,0.819226027,0.835773587,0.03372093,0.031111111,0.046428571,male,18,13,10,6,8,10,4,14,8,4,,,,
0.298485506,0.269942059,0.233983083,0.21256103,0.412037037,0.277777778,0.798611111,0.300818817,0.301110685,0.293789289,0.284411738,0.245393327,0.278980762,0.250871062,0.250942945,0.234244823,0.606818182,0.562765957,0.545283019,male,19,12,20,8,5,8,9,17,9,6,0.261483733,0.053516748,0.331210259,0.36497457
0.521814329,0.491237013,0.229468628,0.245423383,0.402777778,0.131944444,0.93287037,0.539515013,0.50271437,0.524253538,0.485371637,0.505856895,0.483455229,0.534998059,0.48519659,0.468234062,0.026595745,0.028571429,0.065625,female,20,11,15,2,7,11,13,24,10,8,,,,
0.51459468,0.508745398,0.241153735,0.243179757,0.412037037,0.277777778,0.796296296,0.501254181,0.521983987,0.521871942,0.487858279,0.528971061,0.50217111,0.43481648,0.451550007,0.468266964,0.045348837,0.075454545,0.073913043,female,21,15,16,11,9,7,7,14,17,5,,,,
0.607057479,0.500841597,0.313468037,0.318191664,0.384259259,0.444444444,0.773148148,0.610688523,0.625106382,0.590240625,0.487644291,0.504581797,0.509359552,0.635197163,0.685574532,0.635391951,0.286792453,0.284042553,0.257954545,male,19,20,14,14,11,10,12,22,19,7,0.464755964,0.380928177,0.534746164,0.496218707
0.768140362,0.673226678,0.196382364,0.199987301,0.587962963,0.5,0.856481481,0.785001205,0.774049443,0.747517128,0.665021593,0.686337914,0.669956881,0.8025949,0.769100189,0.769086003,0.443,0.42755102,0.428888889,male,19,12,17,7,7,9,9,18,9,8,0.335781876,0.32609399,0.324830066,0.407043127
