Type	Stopped_Time	Activated_Time	Duration(s)	Daylight	
Mouse	2021-09-10 12:00:06.363019	2021-09-10 12:00:12.618297	6.255278	Afternoon
Mouse	2021-09-10 12:00:19.678424	2021-09-10 12:00:25.451990	5.773566	Afternoon
Mouse	2021-09-10 12:01:31.722980	2021-09-10 12:01:42.606885	10.883905	Afternoon
Mouse	2021-09-10 12:01:42.831284	2021-09-10 12:01:47.939628	5.108344	Afternoon
Mouse	2021-09-10 12:01:49.613157	2021-09-10 12:01:55.684923	6.071766	Afternoon
Mouse	2021-09-10 12:02:00.534957	2021-09-10 12:02:11.257294	10.722337	Afternoon
Mouse	2021-09-10 12:02:48.080854	2021-09-10 12:03:02.959081	14.878227	Afternoon
Mouse	2021-09-10 12:03:02.989997	2021-09-10 12:03:32.539005	29.549008	Afternoon
Mouse	2021-09-10 12:04:20.799991	2021-09-10 12:04:26.226482	5.426491	Afternoon
Mouse	2021-09-10 12:04:20.799991	2021-09-10 12:04:26.227479	5.427488	Afternoon
Mouse	2021-09-10 12:04:26.691239	2021-09-10 12:04:31.693867	5.002628	Afternoon
Mouse	2021-09-10 12:04:26.691239	2021-09-10 12:04:31.695861	5.004622	Afternoon
Mouse	2021-09-10 12:04:34.472438	2021-09-10 12:04:43.730688	9.25825	Afternoon
Mouse	2021-09-10 12:04:34.472438	2021-09-10 12:04:43.733681	9.261243	Afternoon
Keyboard	2021-09-10 11:59:39.834937	2021-09-10 12:05:31.482144	351.647207	Afternoon
Mouse	2021-09-10 12:05:44.520289	2021-09-10 12:05:51.716052	7.195763	Afternoon
Mouse	2021-09-10 12:06:14.316669	2021-09-10 12:06:20.778359	6.46169	Afternoon
Keyboard	2021-09-10 12:05:32.202218	2021-09-10 12:06:59.929697	87.727479	Afternoon
Mouse	2021-09-10 12:06:59.080968	2021-09-10 12:07:16.171282	17.090314	Afternoon
Keyboard	2021-09-10 12:07:13.681934	2021-09-10 12:07:38.917473	25.235539	Afternoon
Keyboard	2021-09-10 12:07:39.050116	2021-09-10 12:07:47.174399	8.124283	Afternoon
Mouse	2021-09-10 12:08:09.319200	2021-09-10 12:08:17.602059	8.282859	Afternoon
Mouse	2021-09-10 12:08:47.738494	2021-09-10 12:08:54.562251	6.823757	Afternoon
Keyboard	2021-09-10 12:07:48.565680	2021-09-10 12:09:13.293178	84.727498	Afternoon
Keyboard	2021-09-10 12:09:13.395905	2021-09-10 12:09:21.417461	8.021556	Afternoon
Mouse	2021-09-10 12:09:55.332300	2021-09-10 12:10:00.467572	5.135272	Afternoon
Keyboard	2021-09-10 12:09:22.469648	2021-09-10 12:10:13.234441	50.764793	Afternoon
Mouse	2021-09-10 12:10:12.489435	2021-09-10 12:10:21.627005	9.13757	Afternoon
Mouse	2021-09-10 12:10:23.113033	2021-09-10 12:10:30.059463	6.94643	Afternoon
Keyboard	2021-09-10 12:10:15.819531	2021-09-10 12:10:31.302142	15.482611	Afternoon
Mouse	2021-09-10 12:10:30.520231	2021-09-10 12:10:52.565298	22.045067	Afternoon
Keyboard	2021-09-10 12:10:31.469694	2021-09-10 12:11:03.212836	31.743142	Afternoon
Keyboard	2021-09-10 12:11:05.480771	2021-09-10 12:11:44.655048	39.174277	Afternoon
Keyboard	2021-09-10 12:11:44.740821	2021-09-10 12:12:07.854031	23.11321	Afternoon
Keyboard	2021-09-10 12:12:08.306821	2021-09-10 12:12:52.905594	44.598773	Afternoon
Mouse	2021-09-10 12:12:51.957130	2021-09-10 12:13:01.499620	9.54249	Afternoon
Keyboard	2021-09-10 12:12:54.533243	2021-09-10 12:13:05.363292	10.830049	Afternoon
Mouse	2021-09-10 12:13:04.301131	2021-09-10 12:13:28.835544	24.534413	Afternoon
Mouse	2021-09-10 12:13:37.848451	2021-09-10 12:13:43.988037	6.139586	Afternoon
Keyboard	2021-09-10 12:13:10.825689	2021-09-10 12:13:51.670499	40.84481	Afternoon
Mouse	2021-09-10 12:14:31.410263	2021-09-10 12:14:36.451789	5.041526	Afternoon
Keyboard	2021-09-10 12:14:07.195995	2021-09-10 12:14:47.180108	39.984113	Afternoon
Mouse	2021-09-10 12:15:13.613443	2021-09-10 12:18:01.594625	167.981182	Afternoon
Keyboard	2021-09-10 12:14:57.296064	2021-09-10 12:18:19.480811	202.184747	Afternoon
Mouse	2021-09-10 12:18:29.238725	2021-09-10 12:18:43.506731	14.268006	Afternoon
Mouse	2021-09-10 12:18:52.507358	2021-09-10 12:22:04.170501	191.663143	Afternoon
Keyboard	2021-09-10 12:18:21.671952	2021-09-10 12:22:06.540165	224.868213	Afternoon
Mouse	2021-09-10 12:22:06.018559	2021-09-10 12:22:16.042763	10.024204	Afternoon
Keyboard	2021-09-10 12:22:11.534813	2021-09-10 12:22:24.469235	12.934422	Afternoon
Keyboard	2021-09-10 12:22:29.807964	2021-09-10 12:22:49.811488	20.003524	Afternoon
Mouse	2021-09-10 12:22:48.301525	2021-09-10 12:22:57.341359	9.039834	Afternoon
Keyboard	2021-09-10 12:22:56.613306	2021-09-10 12:23:41.789425	45.176119	Afternoon
Keyboard	2021-09-10 12:23:42.991213	2021-09-10 12:23:59.186916	16.195703	Afternoon
Keyboard	2021-09-10 12:24:03.969133	2021-09-10 12:24:12.548197	8.579064	Afternoon
Keyboard	2021-09-10 12:24:13.616342	2021-09-10 12:24:20.813104	7.196762	Afternoon
Keyboard	2021-09-10 12:24:23.223659	2021-09-10 12:24:28.912452	5.688793	Afternoon
Mouse	2021-09-10 12:24:31.910438	2021-09-10 12:25:06.243654	34.333216	Afternoon
Keyboard	2021-09-10 12:25:05.097719	2021-09-10 12:25:26.384812	21.287093	Afternoon
Mouse	2021-09-10 12:25:53.223064	2021-09-10 12:25:58.403218	5.180154	Afternoon
Mouse	2021-09-10 12:26:04.255573	2021-09-10 12:26:12.372872	8.117299	Afternoon
Keyboard	2021-09-10 12:25:28.427352	2021-09-10 12:27:18.517051	110.089699	Afternoon
Mouse	2021-09-10 12:27:32.191494	2021-09-10 12:27:42.819082	10.627588	Afternoon
Mouse	2021-09-10 12:27:45.753242	2021-09-10 12:28:00.803007	15.049765	Afternoon
