Key	Press_Time	Relase_Time	Daylight	
$	2021-09-10 12:05:31.488128	2021-09-10 12:05:31.567916	Afternoon
$	2021-09-10 12:05:31.810266	2021-09-10 12:05:31.910000	Afternoon
enter	2021-09-10 12:05:32.074560	2021-09-10 12:05:32.208202	Afternoon
arrow_key	2021-09-10 12:06:59.935683	2021-09-10 12:07:00.112209	Afternoon
arrow_key	2021-09-10 12:07:00.618858	2021-09-10 12:07:00.801367	Afternoon
arrow_key	2021-09-10 12:07:01.180354	2021-09-10 12:07:01.768781	Afternoon
arrow_key	2021-09-10 12:07:04.294064	2021-09-10 12:07:04.428672	Afternoon
arrow_key	2021-09-10 12:07:05.436977	2021-09-10 12:07:05.592594	Afternoon
arrow_key	2021-09-10 12:07:06.712567	2021-09-10 12:07:07.264093	Afternoon
arrow_key	2021-09-10 12:07:07.692944	2021-09-10 12:07:07.811626	Afternoon
backspace	2021-09-10 12:07:08.682299	2021-09-10 12:07:08.775051	Afternoon
backspace	2021-09-10 12:07:08.826913	2021-09-10 12:07:08.911686	Afternoon
backspace	2021-09-10 12:07:08.983494	2021-09-10 12:07:09.066272	Afternoon
backspace	2021-09-10 12:07:09.123122	2021-09-10 12:07:09.247786	Afternoon
backspace	2021-09-10 12:07:09.333559	2021-09-10 12:07:09.444262	Afternoon
$	2021-09-10 12:07:09.910018	2021-09-10 12:07:10.053633	Afternoon
$	2021-09-10 12:07:10.141399	2021-09-10 12:07:10.254096	Afternoon
caps_lock	2021-09-10 12:07:10.457552	2021-09-10 12:07:10.616129	Afternoon
backspace	2021-09-10 12:07:10.682950	2021-09-10 12:07:10.786674	Afternoon
backspace	2021-09-10 12:07:10.856487	2021-09-10 12:07:10.961207	Afternoon
$	2021-09-10 12:07:11.211538	2021-09-10 12:07:11.350168	Afternoon
$	2021-09-10 12:07:11.471845	2021-09-10 12:07:11.588561	Afternoon
$	2021-09-10 12:07:12.485134	2021-09-10 12:07:12.631741	Afternoon
$	2021-09-10 12:07:12.699560	2021-09-10 12:07:12.805277	Afternoon
$	2021-09-10 12:07:13.125421	2021-09-10 12:07:13.301949	Afternoon
enter	2021-09-10 12:07:13.558267	2021-09-10 12:07:13.680941	Afternoon
delete	2021-09-10 12:07:38.923456	2021-09-10 12:07:39.056105	Afternoon
$	2021-09-10 12:07:47.180383	2021-09-10 12:07:47.260171	Afternoon
$	2021-09-10 12:07:47.427722	2021-09-10 12:07:47.572337	Afternoon
$	2021-09-10 12:07:47.720937	2021-09-10 12:07:47.793743	Afternoon
$	2021-09-10 12:07:48.027121	2021-09-10 12:07:48.138821	Afternoon
enter	2021-09-10 12:07:48.441014	2021-09-10 12:07:48.571664	Afternoon
backspace	2021-09-10 12:09:13.299163	2021-09-10 12:09:13.395905	Afternoon
$	2021-09-10 12:09:21.416463	2021-09-10 12:09:21.519188	Afternoon
$	2021-09-10 12:09:22.377894	2021-09-10 12:09:22.468651	Afternoon
arrow_key	2021-09-10 12:10:13.230452	2021-09-10 12:10:13.422938	Afternoon
enter	2021-09-10 12:10:15.642006	2021-09-10 12:10:15.825515	Afternoon
arrow_key	2021-09-10 12:10:31.302142	2021-09-10 12:10:31.475678	Afternoon
delete	2021-09-10 12:11:03.209843	2021-09-10 12:11:03.339498	Afternoon
delete	2021-09-10 12:11:05.382037	2021-09-10 12:11:05.480771	Afternoon
backspace	2021-09-10 12:11:44.660036	2021-09-10 12:11:44.746804	Afternoon
$	2021-09-10 12:12:07.860015	2021-09-10 12:12:07.981689	Afternoon
$	2021-09-10 12:12:08.253962	2021-09-10 12:12:08.310810	Afternoon
arrow_key	2021-09-10 12:12:52.911579	2021-09-10 12:12:53.050209	Afternoon
enter	2021-09-10 12:12:54.374668	2021-09-10 12:12:54.539229	Afternoon
$	2021-09-10 12:13:05.374263	2021-09-10 12:13:05.469008	Afternoon
$	2021-09-10 12:13:05.945736	2021-09-10 12:13:06.074392	Afternoon
$	2021-09-10 12:13:06.248924	2021-09-10 12:13:06.448390	Afternoon
space	2021-09-10 12:13:06.539149	2021-09-10 12:13:06.646861	Afternoon
backspace	2021-09-10 12:13:07.049782	2021-09-10 12:13:07.155500	Afternoon
backspace	2021-09-10 12:13:07.220328	2021-09-10 12:13:07.319066	Afternoon
$	2021-09-10 12:13:07.922452	2021-09-10 12:13:08.037146	Afternoon
space	2021-09-10 12:13:08.142862	2021-09-10 12:13:08.237607	Afternoon
$	2021-09-10 12:13:08.237607	2021-09-10 12:13:08.395187	Afternoon
$	2021-09-10 12:13:08.432089	2021-09-10 12:13:08.591662	Afternoon
$	2021-09-10 12:13:08.784148	2021-09-10 12:13:08.833019	Afternoon
backspace	2021-09-10 12:13:09.235939	2021-09-10 12:13:09.286802	Afternoon
backspace	2021-09-10 12:13:09.375566	2021-09-10 12:13:09.480288	Afternoon
$	2021-09-10 12:13:09.636868	2021-09-10 12:13:09.744579	Afternoon
$	2021-09-10 12:13:09.725631	2021-09-10 12:13:09.878221	Afternoon
$	2021-09-10 12:13:10.001892	2021-09-10 12:13:10.134537	Afternoon
$	2021-09-10 12:13:10.183405	2021-09-10 12:13:10.294110	Afternoon
